Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,Returned refugees,IDPs of concern to UNHCR,Returned IDPss,Stateless persons,Others of concern,Other people in need of international protection,Host Community
2019,Albania,Sweden,327,376,0,0,0,0,0,,0
2019,Albania,Switzerland,106,76,0,0,0,0,0,,0
2019,Albania,United States of America,1436,1902,0,0,0,0,0,,0
2019,Algeria,Albania,0,0,0,0,0,0,11,,0
2019,Algeria,Argentina,30,22,0,0,0,0,0,,0
2019,Algeria,Australia,7,29,0,0,0,0,0,,0
2019,Algeria,Austria,37,117,0,0,0,0,0,,0
2019,Algeria,Belgium,75,78,0,0,0,0,0,,0
2019,Algeria,Brazil,7,27,0,0,0,0,0,,0
2019,Algeria,Bosnia and Herzegovina,0,5,0,0,0,0,77,,0
2019,Algeria,Bulgaria,0,21,0,0,0,0,0,,0
2019,Algeria,Canada,449,909,0,0,0,0,0,,0
2019,Algeria,Cyprus,8,8,0,0,0,0,0,,0
2019,Algeria,Czechia,0,5,0,0,0,0,0,,0
2019,Algeria,Denmark,5,9,0,0,0,0,0,,0
2019,Algeria,Finland,14,13,0,0,0,0,0,,0
2019,Algeria,France,1997,1211,0,0,0,0,0,,0
2019,Algeria,United Kingdom of Great Britain and Northern Ireland,344,353,0,0,0,0,0,,0
2019,Algeria,Germany,613,1087,0,0,0,0,0,,0
2019,Algeria,Greece,98,478,0,0,0,0,0,,0
2019,Algeria,Croatia,0,23,0,0,0,0,5,,0
2019,Algeria,Hungary,15,0,0,0,0,0,0,,0
2019,Algeria,Ireland,54,202,0,0,0,0,0,,0
2019,Algeria,Italy,228,130,0,0,0,0,0,,0
2019,Algeria,Jordan,0,7,0,0,0,0,0,,0
2019,Algeria,Rep. of Korea,6,239,0,0,0,0,0,,0
2019,Algeria,Lebanon,0,6,0,0,0,0,9,,0
2019,Algeria,Luxembourg,0,40,0,0,0,0,0,,0
2019,Algeria,North Macedonia,0,7,0,0,0,0,0,,0
2019,Algeria,Mexico,5,0,0,0,0,0,0,,0
2019,Algeria,Malaysia,0,7,0,0,0,0,0,,0
2019,Algeria,Montenegro,0,48,0,0,0,0,0,,0
2019,Algeria,Morocco,9,5,0,0,0,0,0,,0
2019,Algeria,Malta,0,15,0,0,0,0,0,,0
2019,Algeria,Netherlands (Kingdom of the),15,293,0,0,0,0,0,,0
2019,Algeria,Norway,6,0,0,0,0,0,0,,0
2019,Algeria,New Zealand,5,0,0,0,0,0,0,,0
2019,Algeria,Pakistan,22,0,0,0,0,0,0,,0
2019,Algeria,Poland,5,10,0,0,0,0,0,,0
2019,Algeria,Portugal,0,5,0,0,0,0,0,,0
2019,Algeria,Romania,0,55,0,0,0,0,0,,0
2019,Algeria,South Africa,5,230,0,0,0,0,0,,0
2019,Algeria,Spain,61,1345,0,0,0,0,0,,0
2019,Algeria,Serbia and Kosovo: S/RES/1244 (1999),0,5,0,0,0,0,0,,0
2019,Algeria,Slovenia,0,41,0,0,0,0,0,,0
2019,Algeria,Sweden,60,70,0,0,0,0,0,,0
2019,Algeria,Switzerland,162,147,0,0,0,0,0,,0
2019,Algeria,Syrian Arab Rep.,5,0,0,0,0,0,0,,0
2019,Algeria,Tunisia,9,13,0,0,0,0,0,,0
2019,Algeria,United Arab Emirates,0,0,0,0,0,0,5,,0
2019,Algeria,Ukraine,0,12,0,0,0,0,0,,0
2019,Algeria,United States of America,158,376,0,0,0,0,0,,0
2019,Angola,Angola,0,0,0,0,0,0,5,,0
2019,Angola,Argentina,14,14,0,0,0,0,0,,0
2019,Angola,Austria,65,10,0,0,0,0,0,,0
2019,Angola,Burundi,0,5,0,0,0,0,0,,0
2019,Angola,Belgium,92,82,0,0,0,0,0,,0
2019,Angola,Botswana,0,0,0,0,0,0,6,,0
2019,Angola,Brazil,1139,5016,0,0,0,0,0,,0
2019,Angola,Canada,226,1223,0,0,0,0,0,,0
2019,Angola,Central African Rep.,13,0,0,0,0,0,0,,0
2019,Angola,Chile,0,5,0,0,0,0,0,,0
2019,Angola,Cameroon,5,0,0,0,0,0,0,,0
2019,Angola,Congo,14,46,0,0,0,0,0,,0
2019,Angola,Dem. Rep. of the Congo,490,16,0,0,0,0,0,,0
2019,Angola,Costa Rica,0,51,0,0,0,0,0,,0
2019,Angola,Ecuador,5,30,0,0,0,0,0,,0
2019,Angola,Finland,110,26,0,0,0,0,0,,0
2019,Angola,France,3678,1165,0,0,0,0,0,,0
2019,Angola,United Kingdom of Great Britain and Northern Ireland,180,143,0,0,0,0,0,,0
2019,Angola,Germany,862,476,0,0,0,0,0,,0
2019,Angola,Greece,6,46,0,0,0,0,0,,0
2019,Angola,Hungary,5,0,0,0,0,0,0,,0
2019,Angola,Indonesia,6,0,0,0,0,0,0,,0
2019,Angola,Ireland,50,32,0,0,0,0,0,,0
2019,Angola,Italy,34,9,0,0,0,0,0,,0
2019,Angola,Rep. of Korea,5,50,0,0,0,0,0,,0
2019,Angola,Luxembourg,13,5,0,0,0,0,0,,0
2019,Angola,Mexico,5,179,0,0,0,0,0,,0
2019,Angola,Mozambique,5,0,0,0,0,0,0,,0
2019,Angola,Netherlands (Kingdom of the),41,30,0,0,0,0,0,,0
2019,Angola,Norway,14,7,0,0,0,0,0,,0
2019,Angola,Peru,0,7,0,0,0,0,0,,0
2019,Angola,Poland,0,5,0,0,0,0,0,,0
2019,Angola,Portugal,0,216,0,0,0,0,0,,0
2019,Angola,Romania,5,0,0,0,0,0,0,,0
2019,Angola,South Africa,23,12,0,0,0,0,0,,0
2019,Angola,Rwanda,8,0,0,0,0,0,0,,0
2019,Angola,Spain,6,70,0,0,0,0,0,,0
2019,Angola,Slovakia,24,0,0,0,0,0,0,,0
2019,Angola,Eswatini,13,0,0,0,0,0,0,,0
2019,Angola,Sweden,23,30,0,0,0,0,0,,0
2019,Angola,Switzerland,713,77,0,0,0,0,0,,0
2019,Angola,Ukraine,24,0,0,0,0,0,0,,0
2019,Angola,Uruguay,14,5,0,0,0,0,0,,0
2019,Angola,United States of America,246,1684,0,0,0,0,0,,0
2019,Angola,Zambia,0,0,0,0,0,0,18232,,0
2019,Antigua and Barbuda,Canada,104,44,0,0,0,0,0,,0
2019,Antigua and Barbuda,United Kingdom of Great Britain and Northern Ireland,5,9,0,0,0,0,0,,0
2019,Antigua and Barbuda,United States of America,8,12,0,0,0,0,0,,0
2019,Egypt,Albania,5,0,0,0,0,0,0,,0
2019,Egypt,Argentina,5,19,0,0,0,0,0,,0
2019,Egypt,Armenia,5,0,0,0,0,0,0,,0
2019,Egypt,Australia,1531,346,0,0,0,0,0,,0
2019,Egypt,Austria,220,151,0,0,0,0,0,,0
2019,Egypt,Azerbaijan,0,5,0,0,0,0,0,,0
2019,Egypt,Bahrain,0,5,0,0,0,0,0,,0
2019,Egypt,Belgium,115,27,0,0,0,0,0,,0
2019,Egypt,Belarus,5,0,0,0,0,0,0,,0
2019,Egypt,Brazil,48,446,0,0,0,0,0,,0
2019,Egypt,Bosnia and Herzegovina,0,5,0,0,0,0,289,,0
2019,Egypt,Bulgaria,15,6,0,0,0,0,0,,0
2019,Egypt,Canada,2520,1172,0,0,0,0,0,,0
2019,Egypt,Congo,0,0,0,0,0,0,5,,0
2019,Egypt,Cyprus,115,1007,0,0,0,0,0,,0
2019,Egypt,Czechia,8,5,0,0,0,0,0,,0
2019,Egypt,Denmark,16,10,0,0,0,0,0,,0
2019,Egypt,Ecuador,0,16,0,0,0,0,0,,0
2019,Egypt,Estonia,5,0,0,0,0,0,0,,0
2019,Egypt,Ethiopia,5,0,0,0,0,0,0,,0
2019,Egypt,Finland,19,28,0,0,0,0,0,,0
2019,Egypt,France,1091,417,0,0,0,0,0,,0
2019,Egypt,United Kingdom of Great Britain and Northern Ireland,860,510,0,0,0,0,0,,0
2019,Egypt,Georgia,60,114,0,0,0,0,0,,0
2019,Egypt,Germany,2310,2187,0,0,0,0,0,,0
2019,Egypt,Ghana,0,16,0,0,0,0,0,,0
2019,Egypt,Greece,343,1502,0,0,0,0,0,,0
2019,Egypt,"China, Hong Kong SAR",5,0,0,0,0,0,0,,0
2019,Egypt,Croatia,7,0,0,0,0,0,5,,0
2019,Egypt,Hungary,11,0,0,0,0,0,0,,0
2019,Egypt,Iceland,6,0,0,0,0,0,0,,0
2019,Egypt,India,0,8,0,0,0,0,0,,0
2019,Egypt,Indonesia,18,12,0,0,0,0,0,,0
2019,Egypt,Ireland,30,68,0,0,0,0,0,,0
2019,Egypt,Iraq,0,22,0,0,0,0,0,,0
2019,Egypt,Israel,0,12,0,0,0,0,0,,0
2019,Egypt,Italy,2379,638,0,0,0,0,0,,0
2019,Egypt,Jordan,100,587,0,0,0,0,13,,0
2019,Egypt,Kenya,0,21,0,0,0,0,0,,0
2019,Egypt,Rep. of Korea,34,787,0,0,0,0,0,,0
2019,Egypt,Kuwait,5,19,0,0,0,0,0,,0
2019,Egypt,Lebanon,88,293,0,0,0,0,27,,0
2019,Egypt,Luxembourg,5,5,0,0,0,0,0,,0
2019,Egypt,Latvia,5,5,0,0,0,0,0,,0
2019,Egypt,Mexico,5,0,0,0,0,0,0,,0
2019,Egypt,Malaysia,15,79,0,0,0,0,0,,0
2019,Egypt,Montenegro,0,5,0,0,0,0,0,,0
2019,Egypt,Morocco,0,5,0,0,0,0,0,,0
2019,Egypt,Malta,74,60,0,0,0,0,0,,0
2019,Egypt,Netherlands (Kingdom of the),205,189,0,0,0,0,0,,0
2019,Egypt,Norway,59,10,0,0,0,0,0,,0
2019,Egypt,New Zealand,35,5,0,0,0,0,0,,0
2019,Egypt,Poland,71,16,0,0,0,0,0,,0
2019,Egypt,Portugal,0,9,0,0,0,0,0,,0
2019,Egypt,Qatar,13,8,0,0,0,0,0,,0
2019,Egypt,Romania,19,25,0,0,0,0,0,,0
2019,Egypt,South Africa,7,265,0,0,0,0,0,,0
2019,Egypt,Russian Federation,0,5,0,0,0,0,0,,0
2019,Egypt,Somalia,0,26,0,0,0,0,0,,0
2019,Egypt,Spain,39,125,0,0,0,0,0,,0
2019,Egypt,Slovakia,5,0,0,0,0,0,0,,0
2019,Egypt,Sweden,391,506,0,0,0,0,0,,0
2019,Egypt,Switzerland,115,24,0,0,0,0,0,,0
2019,Egypt,Syrian Arab Rep.,33,10,0,0,0,0,0,,0
2019,Egypt,Thailand,16,10,0,0,0,0,0,,0
2019,Egypt,Trinidad and Tobago,0,5,0,0,0,0,0,,0
2019,Egypt,Tunisia,0,5,0,0,0,0,0,,0
2019,Egypt,United Arab Emirates,8,6,0,0,0,0,10,,0
2019,Egypt,Uganda,0,8,0,0,0,0,0,,0
2019,Egypt,Ukraine,5,15,0,0,0,0,0,,0
2019,Egypt,Uruguay,0,5,0,0,0,0,0,,0
2019,Egypt,United States of America,14291,4721,0,0,0,0,0,,0
2019,Egypt,Yemen,16,9,0,0,0,0,0,,0
2019,Argentina,Australia,0,24,0,0,0,0,0,,0
2019,Argentina,Bolivia (Plurinational State of),13,0,0,0,0,0,0,,0
2019,Argentina,Brazil,6,144,0,0,0,0,0,,0
2019,Argentina,Canada,0,47,0,0,0,0,0,,0
2019,Argentina,Costa Rica,0,17,0,0,0,0,0,,0
2019,Argentina,Ecuador,0,5,0,0,0,0,0,,0
2019,Argentina,France,5,0,0,0,0,0,0,,0
2019,Argentina,United Kingdom of Great Britain and Northern Ireland,0,10,0,0,0,0,0,,0
2019,Argentina,Germany,15,24,0,0,0,0,0,,0
2019,Argentina,Israel,0,5,0,0,0,0,0,,0
2019,Argentina,Italy,9,16,0,0,0,0,0,,0
2019,Argentina,Rep. of Korea,0,11,0,0,0,0,0,,0
2019,Argentina,Mexico,5,29,0,0,0,0,0,,0
2019,Argentina,Netherlands (Kingdom of the),5,5,0,0,0,0,0,,0
2019,Argentina,Paraguay,0,6,0,0,0,0,0,,0
2019,Argentina,Peru,0,12,0,0,0,0,0,,0
2019,Argentina,Spain,0,300,0,0,0,0,0,,0
2019,Argentina,Sudan,0,0,0,0,0,0,5,,0
2019,Argentina,Sweden,0,8,0,0,0,0,0,,0
2019,Argentina,Uruguay,0,5,0,0,0,0,0,,0
2019,Argentina,United States of America,41,264,0,0,0,0,0,,0
2019,Armenia,Argentina,77,175,0,0,0,0,0,,0
2019,Armenia,Austria,442,358,0,0,0,0,0,,0
2019,Armenia,Belgium,156,80,0,0,0,0,0,,0
2019,Armenia,Belarus,5,0,0,0,0,0,0,,0
2019,Armenia,Brazil,5,5,0,0,0,0,0,,0
2019,Armenia,Bulgaria,15,14,0,0,0,0,0,,0
2019,Armenia,Canada,52,22,0,0,0,0,0,,0
2019,Armenia,Cyprus,26,21,0,0,0,0,0,,0
2019,Armenia,Czechia,29,24,0,0,0,0,0,,0
2019,Armenia,Denmark,75,13,0,0,0,0,0,,0
2019,Armenia,France,4251,1494,0,0,0,0,0,,0
2019,Armenia,United Kingdom of Great Britain and Northern Ireland,63,13,0,0,0,0,0,,0
2019,Armenia,Germany,2645,4926,0,0,0,0,0,,0
2019,Armenia,Greece,11,86,0,0,0,0,0,,0
2019,Armenia,Hungary,43,0,0,0,0,0,0,,0
2019,Armenia,Ireland,14,5,0,0,0,0,0,,0
2019,Armenia,Israel,0,58,0,0,0,0,0,,0
2019,Armenia,Italy,376,78,0,0,0,0,0,,0
2019,Armenia,Lebanon,0,6,0,0,0,0,5,,0
2019,Armenia,Lithuania,5,5,0,0,0,0,0,,0
2019,Armenia,Luxembourg,6,0,0,0,0,0,0,,0
2019,Armenia,Rep. of Moldova,16,7,0,0,0,0,0,,0
2019,Armenia,Malta,0,5,0,0,0,0,0,,0
2019,Armenia,Netherlands (Kingdom of the),366,48,0,0,0,0,0,,0
2019,Armenia,Norway,5,0,0,0,0,0,0,,0
2019,Armenia,Panama,0,5,0,0,0,0,0,,0
2019,Armenia,Poland,78,49,0,0,0,0,0,,0
2019,Armenia,Portugal,5,0,0,0,0,0,0,,0
2019,Armenia,Russian Federation,0,5,0,0,0,0,0,,0
2019,Armenia,Spain,36,380,0,0,0,0,0,,0
2019,Armenia,Slovakia,34,0,0,0,0,0,0,,0
2019,Armenia,Sweden,378,212,0,0,0,0,0,,0
2019,Armenia,Switzerland,150,73,0,0,0,0,0,,0
2019,Armenia,Ukraine,47,5,0,0,0,0,0,,0
2019,Armenia,United States of America,1551,2925,0,0,0,0,0,,0
2019,Australia,Australia,0,32,0,0,0,0,0,,0
2019,Australia,Canada,0,5,0,0,0,0,0,,0
2019,Australia,United Kingdom of Great Britain and Northern Ireland,5,0,0,0,0,0,0,,0
2019,Australia,Germany,5,0,0,0,0,0,0,,0
2019,Australia,Malaysia,5,0,0,0,0,0,0,,0
2019,Australia,United States of America,5,13,0,0,0,0,0,,0
2019,Austria,Canada,0,10,0,0,0,0,0,,0
2019,Austria,Germany,5,0,0,0,0,0,0,,0
2019,Austria,United States of America,13,0,0,0,0,0,0,,0
2019,Azerbaijan,Armenia,1888,5,0,0,0,0,0,,0
2019,Azerbaijan,Australia,9,15,0,0,0,0,0,,0
2019,Azerbaijan,Austria,240,179,0,0,0,0,0,,0
2019,Azerbaijan,Azerbaijan,0,0,0,652326,0,0,0,,0
2019,Azerbaijan,Belgium,97,37,0,0,0,0,0,,0
2019,Azerbaijan,Belarus,5,0,0,0,0,0,0,,0
2019,Azerbaijan,Bosnia and Herzegovina,0,5,0,0,0,0,0,,0
2019,Azerbaijan,Canada,548,250,0,0,0,0,0,,0
2019,Azerbaijan,Czechia,20,25,0,0,0,0,0,,0
2019,Azerbaijan,Denmark,41,0,0,0,0,0,0,,0
2019,Azerbaijan,Estonia,5,0,0,0,0,0,0,,0
2019,Azerbaijan,Finland,58,0,0,0,0,0,0,,0
2019,Azerbaijan,France,2942,537,0,0,0,0,0,,0
2019,Azerbaijan,United Kingdom of Great Britain and Northern Ireland,159,57,0,0,0,0,0,,0
2019,Azerbaijan,Georgia,5,5,0,0,0,0,0,,0
2019,Azerbaijan,Germany,3784,5017,0,0,0,0,0,,0
2019,Azerbaijan,Greece,5,5,0,0,0,0,0,,0
2019,Azerbaijan,Croatia,5,0,0,0,0,0,0,,0
2019,Azerbaijan,Hungary,13,0,0,0,0,0,0,,0
2019,Azerbaijan,Ireland,5,0,0,0,0,0,0,,0
2019,Azerbaijan,Israel,0,69,0,0,0,0,0,,0
2019,Azerbaijan,Italy,97,35,0,0,0,0,0,,0
2019,Azerbaijan,Rep. of Korea,0,7,0,0,0,0,0,,0
2019,Azerbaijan,Lithuania,16,0,0,0,0,0,0,,0
2019,Azerbaijan,Luxembourg,15,0,0,0,0,0,0,,0
2019,Azerbaijan,Latvia,11,15,0,0,0,0,0,,0
2019,Azerbaijan,Rep. of Moldova,5,7,0,0,0,0,0,,0
2019,Azerbaijan,Netherlands (Kingdom of the),229,126,0,0,0,0,0,,0
2019,Azerbaijan,Norway,27,5,0,0,0,0,0,,0
2019,Azerbaijan,Poland,8,19,0,0,0,0,0,,0
2019,Azerbaijan,Russian Federation,18,11,0,0,0,0,0,,0
2019,Azerbaijan,Spain,49,65,0,0,0,0,0,,0
2019,Azerbaijan,Slovenia,0,5,0,0,0,0,0,,0
2019,Azerbaijan,Sweden,651,453,0,0,0,0,0,,0
2019,Azerbaijan,Switzerland,118,158,0,0,0,0,0,,0
2019,Azerbaijan,Turkmenistan,7,0,0,0,0,0,0,,0
2019,Azerbaijan,Ukraine,72,22,0,0,0,0,0,,0
2019,Azerbaijan,United States of America,474,1098,0,0,0,0,0,,0
2019,Bahrain,Australia,92,22,0,0,0,0,0,,0
2019,Bahrain,Canada,56,28,0,0,0,0,0,,0
2019,Bahrain,France,10,0,0,0,0,0,0,,0
2019,Bahrain,United Kingdom of Great Britain and Northern Ireland,177,12,0,0,0,0,0,,0
2019,Bahrain,Germany,89,5,0,0,0,0,0,,0
2019,Bahrain,Ireland,5,5,0,0,0,0,0,,0
2019,Bahrain,Iraq,0,23,0,0,0,0,0,,0
2019,Bahrain,Italy,5,0,0,0,0,0,0,,0
2019,Bahrain,Lebanon,19,7,0,0,0,0,0,,0
2019,Bahrain,Netherlands (Kingdom of the),9,0,0,0,0,0,0,,0
2019,Bahrain,New Zealand,26,0,0,0,0,0,0,,0
2019,Bahrain,South Africa,0,10,0,0,0,0,0,,0
2019,Bahrain,Sweden,17,5,0,0,0,0,0,,0
2019,Bahrain,Switzerland,5,0,0,0,0,0,0,,0
2019,Bahrain,Syrian Arab Rep.,0,5,0,0,0,0,0,,0
2019,Bahrain,United States of America,47,34,0,0,0,0,0,,0
2019,Barbados,Canada,230,106,0,0,0,0,0,,0
2019,Barbados,United Kingdom of Great Britain and Northern Ireland,13,5,0,0,0,0,0,,0
2019,Barbados,United States of America,0,5,0,0,0,0,0,,0
2019,Burundi,Angola,18,99,0,0,0,0,0,,0
2019,Burundi,Egypt,51,52,0,0,0,0,0,,0
2019,Burundi,Argentina,5,0,0,0,0,0,0,,0
2019,Burundi,Australia,38,36,0,0,0,0,0,,0
2019,Burundi,Austria,16,0,0,0,0,0,0,,0
2019,Burundi,Burundi,0,0,0,33256,0,0,805,,0
2019,Burundi,Belgium,1179,238,0,0,0,0,0,,0
2019,Burundi,Benin,7,0,0,0,0,0,0,,0
2019,Burundi,Burkina Faso,29,0,0,0,0,0,0,,0
2019,Burundi,Botswana,71,0,0,0,0,0,0,,0
2019,Burundi,Brazil,46,22,0,0,0,0,0,,0
2019,Burundi,Canada,2486,654,0,0,0,0,0,,0
2019,Burundi,Central African Rep.,22,0,0,0,0,0,0,,0
2019,Burundi,Chad,5,0,0,0,0,0,0,,0
2019,Burundi,China,7,0,0,0,0,0,0,,0
2019,Burundi,Cameroon,69,24,0,0,0,0,0,,0
2019,Burundi,Congo,66,8,0,0,0,0,11,,0
